"tech","announced","status","dim_length","dim_breadth","dim_thickness","weight","sim","display_tech","display_size","display_res","aspect_ratio","ip_certification","os","chipset","cpu","gpu","card_slot","ram","bt_v","gps","radio","nfc","wlan","battery_mah","audio_jack","price","camera","video","selfie","oem","device"
"GSM / HSPA / LTE","2016, August","Available. Released 2016, October","191.7","101","9.4","260","Dual SIM (Micro-SIM/Nano-SIM)","IPS LCD capacitive touchscreen, 16M colors","7","720 x 1280","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT8735","Quad-core 1.3 GHz Cortex-A53","Mali-T720MP2","microSD","2","4","Yes","FM radio","NA","Wi-Fi","3400","Yes","170","13 MP, autofocus","1080p@30fps","2 MP, 720p","Acer","Iconia Talk S"
"GSM / HSPA / LTE","2016, August","Available. Released 2016, December","153.8","75.6","8.5","169","Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6753","Octa-core 1.3 GHz Cortex-A53","Mali-T720MP3","microSD","3","4","Yes","FM radio","NA","Wi-Fi","4080","Yes","250","13 MP, autofocus, LED flash","1080p@30fps","5 MP","Acer","Liquid Z6 Plus"
"GSM / HSPA / LTE","2016, August","Available. Released 2016, December","NA","NA","NA","NA","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6737","Quad-core 1.25 GHz Cortex-A53","Mali-T720MP2","microSD","1","NA","Yes","FM radio","NA","Yes","2000","Yes","120","8 MP, autofocus, LED flash","Yes","2 MP","Acer","Liquid Z6"
"No cellular connectivity","2016, April","Available. Released 2016, June","259","167","8.9","NA","No","IPS LCD capacitive touchscreen, 16M colors","10.1","1920 x 1200","16:10","NA","Android 6.0 (Marshmallow)","Mediatek MT8163A","Quad-core 1.3 GHz Cortex-A53","Mali-T720 MP2","microSD","2","NA","","No","NA","Wi-Fi","NA","Yes","230","5 MP","1080p","2 MP","Acer","Iconia Tab 10 A3-A40"
"GSM / HSPA / LTE","2015, April","Available. Released 2016, February","153.3","78.8","8.5","166","Triple SIM (Micro-SIM)","IPS LCD capacitive touchscreen, 16M colors","5.5","720 x 1280","16:9","NA","Android 5.1 (Lollipop)","Mediatek MT6753","Octa-core 1.3 GHz Cortex-A53","Mali-T720MP4","microSD","3","4","Yes","FM radio","NA","Wi-Fi","4020","Yes","230","13 MP, f/1.8, autofocus, LED flash, check quality","1080p, check quality","13 MP, f/1.8, autofocus, LED flash","Acer","Liquid X2"
"GSM / HSPA / LTE","2016, February","Available","NA","NA","NA","NA","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 6.0 (Marshmallow)","Qualcomm MSM8992 Snapdragon 808","Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57)","NA","microSD","3","4","Yes","FM radio","NA","Wi-Fi","NA","Yes","NA","21 MP, autofocus, dual-LED flash","2160p@30fps","8 MP","Acer","Liquid Jade 2"
"GSM / HSPA / LTE","2016, April","Available. Released 2016, July","154","77","10","NA","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5","720 x 1280","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6735","Quad-core 1.3 GHz Cortex-A53","Mali-T720MP2","microSD","2","NA","Yes","FM radio","NA","Yes","5000","Yes","200","13 MP, phase detection/laser autofocus, LED flash","1080p@30fps","5 MP","Acer","Liquid Zest Plus"
"GSM / HSPA / LTE","2016, February","Available. Released 2016, April","145.7","71.2","8.4","125","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6580 - Z525Mediatek MT6735 - Z525","Quad-core 1.3 GHz - Z525Quad-core 1.0 GHz - Z528","Mali-400MP2 - Z525Mali-T720MP2 - Z528","microSD","1","4","Yes","FM radio","NA","Yes","2000","Yes","110","8 MP, f/2.0, autofocus, LED flash","1080p@30fps","5 MP","Acer","Liquid Zest"
"No cellular connectivity","2015, September","Available. Released 2015, November","217.9","127","8.6","353.8","No","IPS LCD capacitive touchscreen, 16M colors","8","1920 x 1200","16:10","NA","Android 5.0 (Lollipop)","Intel Atom x7-Z8700","Quad-core 1.6 GHz","NA","microSD","2","4","","No","NA","Wi-Fi","4420","Yes","350","5 MP","1080p@30fps","2 MP","Acer","Predator 8"
"GSM / HSPA / LTE","2015, September","Available. Released 2016, April","156.5","75.9","8.4","150","Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Microsoft Windows 10","Qualcomm MSM8992 Snapdragon 808","Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57)","Adreno 418","microSD","3","4","Yes","FM radio","NA","Wi-Fi","2870","Yes","220","21 MP, f/2.2, autofocus, dual-LED flash, check quality","2160p@30fps, 1080p@30fps, check quality","8 MP, f/2.2, 1080p@30fps","Acer","Liquid Jade Primo"
